country_iso,clean_policy_count,green_investment_narrow,green_investment_broad,green_share_narrow,green_share_broad,avg_gdp_pc,avg_rule_law,cluster,log_green_investment
SRB,1,1422.1,1422.1,1.0,1.0,5831.5037666169555,-0.3611011583333333,1,7.2605928696896145
SSD,2,20.0,20.0,1.0,1.0,1682.8620282024176,-1.7332471785714285,0,3.044522437723423
STP,1,30.0,30.0,1.0,1.0,1237.59949590971,-0.4174197499999999,0,3.4339872044851463
SWZ,2,115.0,115.0,1.0,1.0,3154.0924033307347,-0.6031137958333334,0,4.7535901911063645
TCD,1,321.35,321.35,1.0,1.0,866.0232960690938,-1.4118683083333332,0,5.775637911756629
TGO,5,258.35,258.35,1.0,1.0,726.1253560753336,-0.8518793916666666,0,5.55817850079741
THA,28,3515.57,3636.73,0.44015820589804,0.4485238437042901,5230.325299257307,-0.15856781666666664,1,8.165241361706638
TUN,16,345.08000000000004,345.08000000000004,1.0,1.0,3702.5792181654488,-0.17996177916666664,1,5.846669962204749
TUR,66,5319.29,8446.34,1.0,1.0,10008.139581122974,-0.28785759166666663,1,8.5792830921282
TZA,12,46.2,46.2,1.0,1.0,851.8483154296882,-0.45847902916666666,0,3.8543938925915096
UGA,10,306.34000000000003,306.34000000000003,1.0,1.0,774.2796461582772,-0.5851394999999999,0,5.727954626627186
UKR,30,3508.58,3508.58,1.0,1.0,2167.5288574218766,-0.7134639374999999,0,8.16325165118065
UZB,16,4843.91,4843.91,0.6991877781322217,0.6991877781322217,2425.3637038633915,-1.0676519833333333,0,8.48568394830094
VCT,1,82.0,82.0,1.0,1.0,7134.981403897278,0.7908810458333333,1,4.418840607796598
VNM,47,6261.250000000001,6635.25,0.3250923810132031,0.3379484779139763,2372.1923448813536,-0.4942929166666667,0,8.742294824436609
ZAF,62,10097.77,10097.77,1.0,1.0,5717.58683309314,0.05662390833333331,1,9.220168913235081
ZMB,8,544.2,544.2,1.0,1.0,1141.0293323986693,-0.4558135583333333,0,6.301152699822378
ZWE,7,360.2,360.2,1.0,1.0,1289.5958311837778,-1.5853804541666667,0,5.88943182154283
