Country,Financial closure year,total_projects,total_investment,resilient_projects,resilient_investment,resilient_share_count,resilient_share_value
Comoros,2003,1,0.5,0.0,0.0,0.0,0.0
Comoros,2019,1,74.0,0.0,0.0,0.0,0.0
"Congo, Dem. Rep.",2000,2,20.0,0.0,0.0,0.0,0.0
"Congo, Dem. Rep.",2020,1,600.0,1.0,600.0,1.0,1.0
"Congo, Dem. Rep.",2021,2,135.0,2.0,135.0,1.0,1.0
"Congo, Dem. Rep.",2022,2,1221.0,0.0,0.0,0.0,0.0
"Congo, Dem. Rep.",2023,3,289.0,1.0,50.0,0.3333333333333333,0.17301038062283736
"Congo, Rep.",2002,1,0.0,1.0,0.0,1.0,
"Congo, Rep.",2008,2,735.0,0.0,0.0,0.0,0.0
"Congo, Rep.",2010,1,56.0,0.0,0.0,0.0,0.0
"Congo, Rep.",2013,1,0.0,1.0,0.0,1.0,
Costa Rica,2000,2,161.0,1.0,0.0,0.5,0.0
Costa Rica,2003,1,80.0,1.0,80.0,1.0,1.0
Costa Rica,2004,1,80.0,1.0,80.0,1.0,1.0
Costa Rica,2005,1,304.2,0.0,0.0,0.0,0.0
Costa Rica,2006,2,43.0,0.0,0.0,0.0,0.0
Costa Rica,2007,1,330.0,0.0,0.0,0.0,0.0
Costa Rica,2009,2,144.0,1.0,110.0,0.5,0.7638888888888888
Costa Rica,2012,1,273.0,1.0,273.0,1.0,1.0
Costa Rica,2013,3,415.6,3.0,415.6,1.0,1.0
Costa Rica,2014,2,165.0,2.0,165.0,1.0,1.0
Costa Rica,2015,3,852.0,2.0,189.0,0.6666666666666666,0.22183098591549297
Cuba,2000,1,600.0,1.0,600.0,1.0,1.0
Cuba,2002,1,0.0,0.0,0.0,0.0,
Cuba,2019,1,1880.0,0.0,0.0,0.0,0.0
Côte d'Ivoire,2000,1,140.0,0.0,0.0,0.0,0.0
Côte d'Ivoire,2004,3,36.4,0.0,0.0,0.0,0.0
Côte d'Ivoire,2008,1,0.0,1.0,0.0,1.0,
Côte d'Ivoire,2010,2,11.0,0.0,0.0,0.0,0.0
Côte d'Ivoire,2012,1,700.0,0.0,0.0,0.0,0.0
Côte d'Ivoire,2017,1,471.3,0.0,0.0,0.0,0.0
Côte d'Ivoire,2020,3,1002.55,1.0,192.31,0.3333333333333333,0.19182085681512145
Côte d'Ivoire,2021,2,700.79,1.0,232.48,0.5,0.3317398935487093
Côte d'Ivoire,2022,2,359.29999999999995,1.0,183.7,0.5,0.5112719176175898
Côte d'Ivoire,2023,1,60.0,1.0,60.0,1.0,1.0
