Country,Financial closure year,total_investment,total_projects,green_investment,green_projects,green_share_value,green_share_count,total_investment_broad,total_projects_broad,green_investment_broad,green_projects_broad,green_share_value_broad,green_share_count_broad
Colombia,2018,78.0,2.0,78.0,2.0,1.0,1.0,78.0,2,78.0,2.0,1.0,1.0
Colombia,2019,48.5,1.0,0.0,0.0,0.0,0.0,48.5,1,0.0,0.0,0.0,0.0
Colombia,2020,16.73,2.0,16.73,2.0,1.0,1.0,16.73,2,16.73,2.0,1.0,1.0
Colombia,2021,24.0,1.0,24.0,1.0,1.0,1.0,24.0,1,24.0,1.0,1.0,1.0
Colombia,2022,585.56,5.0,515.87,4.0,0.8809857230685157,0.8,585.56,5,515.87,4.0,0.8809857230685157,0.8
Colombia,2023,376.2,4.0,376.2,4.0,1.0,1.0,376.2,4,376.2,4.0,1.0,1.0
Colombia,2024,202.0,2.0,202.0,2.0,1.0,1.0,202.0,2,202.0,2.0,1.0,1.0
"Congo, Dem. Rep.",2020,600.0,1.0,600.0,1.0,1.0,1.0,600.0,1,600.0,1.0,1.0,1.0
"Congo, Dem. Rep.",2021,135.0,2.0,135.0,2.0,1.0,1.0,135.0,2,135.0,2.0,1.0,1.0
"Congo, Dem. Rep.",2023,50.0,1.0,50.0,1.0,1.0,1.0,50.0,1,50.0,1.0,1.0,1.0
Costa Rica,2012,,,,,,,273.0,1,273.0,1.0,1.0,1.0
Costa Rica,2013,274.6,2.0,274.6,2.0,1.0,1.0,415.6,3,415.6,3.0,1.0,1.0
Costa Rica,2014,165.0,2.0,165.0,2.0,1.0,1.0,165.0,2,165.0,2.0,1.0,1.0
Costa Rica,2015,189.0,2.0,189.0,2.0,1.0,1.0,189.0,2,189.0,2.0,1.0,1.0
Côte d'Ivoire,2010,11.0,2.0,0.0,0.0,0.0,0.0,11.0,2,0.0,0.0,0.0,0.0
Côte d'Ivoire,2020,810.24,2.0,0.0,0.0,0.0,0.0,810.24,2,0.0,0.0,0.0,0.0
Côte d'Ivoire,2021,232.48,1.0,232.48,1.0,1.0,1.0,232.48,1,232.48,1.0,1.0,1.0
Côte d'Ivoire,2022,183.7,1.0,183.7,1.0,1.0,1.0,183.7,1,183.7,1.0,1.0,1.0
Côte d'Ivoire,2023,60.0,1.0,60.0,1.0,1.0,1.0,60.0,1,60.0,1.0,1.0,1.0
Côte d'Ivoire,2024,60.68,1.0,60.68,1.0,1.0,1.0,60.68,1,60.68,1.0,1.0,1.0
Djibouti,2020,123.5,1.0,123.5,1.0,1.0,1.0,123.5,1,123.5,1.0,1.0,1.0
Djibouti,2023,0.0,1.0,0.0,1.0,,1.0,0.0,1,0.0,1.0,,1.0
Dominican Republic,2010,30.0,1.0,0.0,0.0,0.0,0.0,30.0,1,0.0,0.0,0.0,0.0
Dominican Republic,2011,465.7,5.0,402.7,4.0,0.8647197766802662,0.8,465.7,5,402.7,4.0,0.8647197766802662,0.8
Dominican Republic,2012,90.0,2.0,50.0,1.0,0.5555555555555556,0.5,90.0,2,50.0,1.0,0.5555555555555556,0.5
Dominican Republic,2015,204.5,1.0,204.5,1.0,1.0,1.0,204.5,1,204.5,1.0,1.0,1.0
Dominican Republic,2017,125.0,1.0,125.0,1.0,1.0,1.0,125.0,1,125.0,1.0,1.0,1.0
Dominican Republic,2018,166.05,2.0,166.05,2.0,1.0,1.0,166.05,2,166.05,2.0,1.0,1.0
Dominican Republic,2019,78.0,1.0,78.0,1.0,1.0,1.0,78.0,1,78.0,1.0,1.0,1.0
Dominican Republic,2021,45.0,2.0,45.0,2.0,1.0,1.0,45.0,2,45.0,2.0,1.0,1.0
Dominican Republic,2022,310.0,3.0,310.0,3.0,1.0,1.0,310.0,3,310.0,3.0,1.0,1.0
Dominican Republic,2023,858.02,11.0,858.02,11.0,1.0,1.0,858.02,11,858.02,11.0,1.0,1.0
Dominican Republic,2024,446.1,3.0,123.6,2.0,0.27706792199058505,0.6666666666666666,446.1,3,123.6,2.0,0.27706792199058505,0.6666666666666666
Ecuador,2013,136.7,2.0,136.7,2.0,1.0,1.0,136.7,2,136.7,2.0,1.0,1.0
Ecuador,2016,111.4,1.0,111.4,1.0,1.0,1.0,111.4,1,111.4,1.0,1.0,1.0
Ecuador,2017,111.4,1.0,111.4,1.0,1.0,1.0,111.4,1,111.4,1.0,1.0,1.0
Ecuador,2023,181.0,1.0,181.0,1.0,1.0,1.0,181.0,1,181.0,1.0,1.0,1.0
"Egypt, Arab Rep.",2012,276.0,1.0,276.0,1.0,1.0,1.0,276.0,1,276.0,1.0,1.0,1.0
"Egypt, Arab Rep.",2016,106.0,2.0,106.0,2.0,1.0,1.0,106.0,2,106.0,2.0,1.0,1.0
"Egypt, Arab Rep.",2017,2400.0299999999997,24.0,2400.0299999999997,24.0,1.0,1.0,2400.0299999999997,24,2400.0299999999997,24.0,1.0,1.0
"Egypt, Arab Rep.",2019,335.0,1.0,335.0,1.0,1.0,1.0,335.0,1,335.0,1.0,1.0,1.0
"Egypt, Arab Rep.",2022,1039.0,2.0,1039.0,2.0,1.0,1.0,1039.0,2,1039.0,2.0,1.0,1.0
"Egypt, Arab Rep.",2023,669.4,1.0,669.4,1.0,1.0,1.0,789.4,2,789.4,2.0,1.0,1.0
"Egypt, Arab Rep.",2024,173.3,2.0,173.3,2.0,1.0,1.0,173.3,2,173.3,2.0,1.0,1.0
El Salvador,2015,156.73999999999998,5.0,156.73999999999998,5.0,1.0,1.0,156.73999999999998,5,156.73999999999998,5.0,1.0,1.0
El Salvador,2017,160.0,1.0,160.0,1.0,1.0,1.0,160.0,1,160.0,1.0,1.0,1.0
El Salvador,2018,143.0,1.0,143.0,1.0,1.0,1.0,143.0,1,143.0,1.0,1.0,1.0
El Salvador,2019,877.0,1.0,0.0,0.0,0.0,0.0,877.0,1,0.0,0.0,0.0,0.0
El Salvador,2020,7.8,1.0,7.8,1.0,1.0,1.0,7.8,1,7.8,1.0,1.0,1.0
El Salvador,2022,25.3,1.0,25.3,1.0,1.0,1.0,25.3,1,25.3,1.0,1.0,1.0
Eswatini,2021,115.0,1.0,115.0,1.0,1.0,1.0,115.0,1,115.0,1.0,1.0,1.0
Ethiopia,2014,120.0,1.0,120.0,1.0,1.0,1.0,120.0,1,120.0,1.0,1.0,1.0
Ethiopia,2021,271.0,1.0,271.0,1.0,1.0,1.0,271.0,1,271.0,1.0,1.0,1.0
Gabon,2011,234.0,1.0,234.0,1.0,1.0,1.0,234.0,1,234.0,1.0,1.0,1.0
Gabon,2012,134.0,1.0,134.0,1.0,1.0,1.0,134.0,1,134.0,1.0,1.0,1.0
Gabon,2019,167.0,1.0,167.0,1.0,1.0,1.0,167.0,1,167.0,1.0,1.0,1.0
Gabon,2021,210.96,1.0,210.96,1.0,1.0,1.0,210.96,1,210.96,1.0,1.0,1.0
Gabon,2022,152.38,1.0,152.38,1.0,1.0,1.0,152.38,1,152.38,1.0,1.0,1.0
Gabon,2023,30.0,1.0,30.0,1.0,1.0,1.0,30.0,1,30.0,1.0,1.0,1.0
Georgia,2011,,,,,,,417.0,3,417.0,3.0,1.0,1.0
Georgia,2015,,,,,,,417.0,1,417.0,1.0,1.0,1.0
Georgia,2017,,,,,,,65.0,1,65.0,1.0,1.0,1.0
Georgia,2019,14.4,1.0,14.4,1.0,1.0,1.0,14.4,1,14.4,1.0,1.0,1.0
Georgia,2024,235.22,3.0,235.22,3.0,1.0,1.0,235.22,3,235.22,3.0,1.0,1.0
Ghana,2013,440.0,1.0,0.0,0.0,0.0,0.0,440.0,1,0.0,0.0,0.0,0.0
Ghana,2014,900.0,1.0,0.0,0.0,0.0,0.0,900.0,1,0.0,0.0,0.0,0.0
Ghana,2016,1705.0,3.0,0.0,0.0,0.0,0.0,1705.0,3,0.0,0.0,0.0,0.0
Ghana,2017,0.0,1.0,0.0,0.0,,0.0,0.0,1,0.0,0.0,,0.0
Guatemala,2010,758.0,1.0,0.0,0.0,0.0,0.0,758.0,1,0.0,0.0,0.0,0.0
Guatemala,2012,36.0,1.0,36.0,1.0,1.0,1.0,180.0,2,180.0,2.0,1.0,1.0
Guatemala,2014,410.2,6.0,410.2,5.0,1.0,0.8333333333333334,410.2,6,410.2,5.0,1.0,0.8333333333333334
Guatemala,2015,94.0,2.0,94.0,2.0,1.0,1.0,94.0,2,94.0,2.0,1.0,1.0
Guatemala,2019,56.4,1.0,56.4,1.0,1.0,1.0,56.4,1,56.4,1.0,1.0,1.0
Guatemala,2024,64.0,1.0,64.0,1.0,1.0,1.0,64.0,1,64.0,1.0,1.0,1.0
Guinea,2018,121.0,1.0,0.0,0.0,0.0,0.0,121.0,1,0.0,0.0,0.0,0.0
Guinea,2020,76.5,1.0,76.5,1.0,1.0,1.0,76.5,1,76.5,1.0,1.0,1.0
Guinea,2024,0.0,1.0,0.0,1.0,,1.0,0.0,1,0.0,1.0,,1.0
Honduras,2010,318.8,2.0,318.8,2.0,1.0,1.0,318.8,2,318.8,2.0,1.0,1.0
Honduras,2011,144.5,2.0,144.5,2.0,1.0,1.0,144.5,2,144.5,2.0,1.0,1.0
Honduras,2013,248.0,2.0,248.0,2.0,1.0,1.0,248.0,2,248.0,2.0,1.0,1.0
Honduras,2014,554.3,5.0,554.3,5.0,1.0,1.0,554.3,5,554.3,5.0,1.0,1.0
Honduras,2015,430.0,3.0,430.0,3.0,1.0,1.0,430.0,3,430.0,3.0,1.0,1.0
Honduras,2016,349.3,3.0,349.3,3.0,1.0,1.0,349.3,3,349.3,3.0,1.0,1.0
Honduras,2017,259.6,3.0,259.6,3.0,1.0,1.0,259.6,3,259.6,3.0,1.0,1.0
Honduras,2023,370.0,1.0,370.0,1.0,1.0,1.0,370.0,1,370.0,1.0,1.0,1.0
India,2010,28761.66,35.0,788.4,11.0,0.02741149154812344,0.3142857142857143,29223.510000000002,38,1250.25,14.0,0.04278233518150284,0.3684210526315789
India,2011,17397.35,56.0,2164.75,39.0,0.12442987006641817,0.6964285714285714,17820.55,59,2587.95,42.0,0.14522279054237944,0.711864406779661
India,2012,6012.900000000001,48.0,3512.1,42.0,0.5840941974754278,0.875,6012.900000000001,48,3512.1,42.0,0.5840941974754278,0.875
India,2013,1736.0,27.0,1210.9,25.0,0.6975230414746544,0.9259259259259259,1965.3,28,1440.2,26.0,0.7328143286012314,0.9285714285714286
