Country,year,green_investment,green_share_value,country,resilience_score,Country Name,gdp_pc,rule_law,log_green,cluster
Argentina,2018,901.82,0.8003230329600115,Argentina,0.8010528312017486,Argentina,2.436174756095817,0.6822135431173297,6.805523197998842,0
Argentina,2019,1895.4,0.9199184624344788,Argentina,0.8010528312017486,Argentina,2.3344808859163124,0.36936053334704294,7.547712631027963,0
Argentina,2020,160.0,1.0,Argentina,0.8010528312017486,Argentina,1.9549762043033125,0.47887152757001794,5.081404364984463,0
Argentina,2022,381.0,0.7383720930232558,Argentina,0.8010528312017486,Argentina,2.499310953218296,0.4770328378182601,5.945420608606575,0
Argentina,2023,720.0,1.0,Argentina,0.8010528312017486,Argentina,2.417324266871904,0.6003519735940906,6.580639137284949,0
Argentina,2024,33.0,1.0,Argentina,0.8010528312017486,Argentina,2.354116534386846,0.5690327660112625,3.5263605246161616,0
Armenia,2019,0.0,0.0,Armenia,-0.7982266942041729,Armenia,-0.08207326180007414,0.5768409817355594,0.0,2
Armenia,2021,53.01,1.0,Armenia,-0.7982266942041729,Armenia,-0.1048024953279065,0.9109436647299863,3.9891692146047997,2
Armenia,2022,37.0,1.0,Armenia,-0.7982266942041729,Armenia,0.0472497079107285,0.5983424802518237,3.6375861597263857,2
Armenia,2023,0.0,0.0,Armenia,-0.7982266942041729,Armenia,0.16463396749428685,0.6624604977366468,0.0,2
Azerbaijan,2021,200.0,1.0,Azerbaijan,-0.7982266942041729,Azerbaijan,0.20865619086362794,-0.253187846595332,5.303304908059076,1
Azerbaijan,2022,250.0,1.0,Azerbaijan,-0.7982266942041729,Azerbaijan,0.2808970298814681,-0.11482496825554052,5.5254529391317835,2
Azerbaijan,2023,348.0,1.0,Azerbaijan,-0.7982266942041729,Azerbaijan,0.30084247650814366,-0.04020836785016717,5.855071922202427,2
Azerbaijan,2024,1024.0,1.0,Azerbaijan,-0.7982266942041729,Azerbaijan,0.35936654226344733,0.030428405913974943,6.932447891572509,2
Bangladesh,2010,0.0,0.0,Bangladesh,-0.7982266942041729,Bangladesh,-1.0644774486937671,-0.8037344952259768,0.0,1
Bangladesh,2011,0.0,0.0,Bangladesh,-0.7982266942041729,Bangladesh,-1.0494758877977293,-0.4632385071838488,0.0,1
Bangladesh,2012,0.0,0.0,Bangladesh,-0.7982266942041729,Bangladesh,-1.0336375746276985,-1.1283164060668864,0.0,1
Bangladesh,2013,0.0,0.0,Bangladesh,-0.7982266942041729,Bangladesh,-1.018390445055534,-1.0964258871555954,0.0,1
Bangladesh,2014,0.0,0.0,Bangladesh,-0.7982266942041729,Bangladesh,-1.0021362842581023,-0.8131560565867303,0.0,1
Bangladesh,2015,0.0,0.0,Bangladesh,-0.7982266942041729,Bangladesh,-0.983359975615647,-0.8248230478757805,0.0,1
Bangladesh,2016,0.0,0.0,Bangladesh,-0.7982266942041729,Bangladesh,-0.9615595585699555,-0.9398312401719565,0.0,1
Bangladesh,2017,0.0,0.0,Bangladesh,-0.7982266942041729,Bangladesh,-0.9401988556007451,-0.9799169075987924,0.0,1
Bangladesh,2018,0.0,0.0,Bangladesh,-0.7982266942041729,Bangladesh,-0.9146268101826496,-0.9461299351970072,0.0,1
Bangladesh,2019,35.71,1.0,Bangladesh,-0.7982266942041729,Bangladesh,-0.8851651747207709,-1.0205260196208348,3.603049197508743,1
Bangladesh,2020,133.0,0.0707446808510638,Bangladesh,-0.7982266942041729,Bangladesh,-0.8734744642149274,-0.9168738386523475,4.897839799950911,1
Bangladesh,2021,0.0,,Bangladesh,-0.7982266942041729,Bangladesh,-0.8453256201739747,-1.0964116167436402,0.0,1
Bangladesh,2022,0.0,0.0,Bangladesh,-0.7982266942041729,Bangladesh,-0.8157739621050168,-1.0934800301003251,0.0,1
Bangladesh,2023,247.55,1.0,Bangladesh,-0.7982266942041729,Bangladesh,-0.7923601221265761,-0.9286338216699083,5.515644032540681,1
Bangladesh,2024,24.3,1.0,Bangladesh,-0.7982266942041729,Bangladesh,-0.7762068569446149,-1.0622169813364262,3.2308043957334744,1
Belarus,2019,11.3,1.0,Belarus,-0.7982266942041729,Belarus,0.4739655410249316,-0.6805244672483914,2.509599262378372,1
Benin,2022,15.82,1.0,Benin,-0.7982266942041729,Benin,-0.985061887998585,0.06934083683855714,2.822568654544802,1
Benin,2023,9.6,1.0,Benin,-0.7982266942041729,Benin,-0.9720226030624347,0.24784349515136,2.3608540011180215,1
Bosnia and Herzegovina,2012,0.0,0.0,Bosnia and Herzegovina,-0.7982266942041729,Bosnia and Herzegovina,-0.14088846874108288,0.8440761253796735,0.0,2
Bosnia and Herzegovina,2020,78.78,1.0,Bosnia and Herzegovina,-0.7982266942041729,Bosnia and Herzegovina,0.2494490662988814,0.4511512055377873,4.379272846477261,2
Bosnia and Herzegovina,2022,9.48,1.0,Bosnia and Herzegovina,-0.7982266942041729,Bosnia and Herzegovina,0.4911375556039302,0.4807330071830411,2.349468678892896,2
Bosnia and Herzegovina,2023,485.75,1.0,Bosnia and Herzegovina,-0.7982266942041729,Bosnia and Herzegovina,0.5391516924142148,0.33079405626129244,6.187750644252309,2
Botswana,2011,0.0,0.0,Botswana,-0.7982266942041729,Botswana,0.3532795595339912,2.8663453515278325,0.0,2
Botswana,2022,5.0,1.0,Botswana,-0.7982266942041729,Botswana,0.7316747105339776,1.9382614331853396,1.791759469228055,2
Botswana,2023,60.0,1.0,Botswana,-0.7982266942041729,Botswana,0.7633058924531311,1.9124863809544141,4.110873864173311,2
Botswana,2024,60.5,1.0,Botswana,-0.7982266942041729,Botswana,0.6674521438408312,1.8660242200148591,4.119037174812473,2
Brazil,2010,1059.5,0.8434166533991402,Brazil,1.6733871177867965,Brazil,1.2035598935800638,1.0523972040146774,6.966495774004737,0
Brazil,2011,6460.3,0.6961980300450461,Brazil,1.6733871177867965,Brazil,1.283127536745887,0.975512624557713,8.773585814921011,0
Brazil,2012,4375.33,0.93447426705367,Brazil,1.6733871177867965,Brazil,1.3118807992645332,1.0447979889723082,8.383965752593078,0
Brazil,2013,4490.62,0.9001727932774995,Brazil,1.6733871177867965,Brazil,1.3694531879665934,0.8379933455660534,8.409968717444727,0
Brazil,2014,4236.0,1.0,Brazil,1.6733871177867965,Brazil,1.361247727065131,0.8208257056262157,8.351610750626559,0
